,Poll,Date,Sample,Clinton,Edwards,Obama,Biden,Richardson,Spread,Days_Out
0,Final Results,,,29.4,29.7,37.5,0.9,2.1,Obama +7.8,
1,RCP Average,2008-01-02,,29.2,26.0,30.8,5.4,5.2,Obama +1.6,1.0
2,InsiderAdvantage,2008-01-02,415.0,32.0,33.0,34.0,--,--,Obama +1,1.0
3,American Res. Group,2008-01-02,600.0,34.0,21.0,25.0,8,6,Clinton +9,1.0
4,Reuters,2008-01-02,905.0,24.0,27.0,31.0,5,7,Obama +4,1.0
5,Reuters,2008-01-01,933.0,28.0,26.0,28.0,4,7,Tie,2.0
6,Reuters,2007-12-31,925.0,30.0,25.0,26.0,5,5,Clinton +4,3.0
7,Strategic Vision (R),2007-12-30,600.0,27.0,29.0,32.0,5,2,Obama +3,4.0
8,Des Moines Register,2007-12-30,800.0,25.0,24.0,32.0,4,6,Obama +7,4.0
9,Reuters,2007-12-30,899.0,30.0,26.0,26.0,5,5,Clinton +4,4.0
10,CNN,2007-12-30,482.0,33.0,22.0,31.0,5,5,Clinton +2,4.0
11,Insider Advantage,2007-12-29,788.0,30.0,29.0,22.0,--,--,Clinton +1,5.0
12,Reuters,2007-12-29,934.0,31.0,24.0,27.0,5,5,Clinton +4,5.0
13,Mason-Dixon,2007-12-28,400.0,23.0,24.0,22.0,8,12,Edwards +1,6.0
14,American Res. Group,2007-12-28,600.0,31.0,24.0,24.0,5,5,Clinton +7,6.0
15,Quad City Times,2007-12-27,500.0,28.0,29.0,29.0,3,7,Tie,7.0
16,Strategic Vision (R),2007-12-27,600.0,29.0,28.0,30.0,5,2,Obama +1,7.0
17,LA Times,2007-12-26,389.0,31.0,25.0,22.0,6,7,Clinton +6,8.0
18,American Res. Group,2007-12-23,600.0,34.0,20.0,19.0,8,5,Clinton +14,11.0
19,American Res. Group,2007-12-19,600.0,29.0,18.0,25.0,8,7,Clinton +4,15.0
20,Strategic Vision (R),2007-12-18,600.0,27.0,27.0,30.0,5,3,Obama +3,16.0
21,CNN,2007-12-18,543.0,30.0,26.0,28.0,3,7,Clinton +2,16.0
22,Rasmussen Reports,2007-12-17,775.0,31.0,22.0,27.0,5,9,Clinton +4,17.0
23,InsiderAdvantage,2007-12-17,633.0,24.0,26.0,27.0,--,--,Obama +1,17.0
24,ABC,2007-12-17,652.0,29.0,20.0,33.0,4,8,Obama +4,17.0
25,Quad City Times,2007-12-13,500.0,24.0,24.0,33.0,3,9,Obama +9,21.0
26,Hotline,2007-12-12,569.0,27.0,22.0,27.0,5,8,Tie,22.0
27,Rasmussen Reports,2007-12-10,1106.0,29.0,22.0,26.0,5,7,Clinton +3,24.0
28,Strategic Vision (R),2007-12-10,600.0,25.0,24.0,33.0,4,4,Obama +8,24.0
29,Newsweek,2007-12-06,395.0,29.0,18.0,35.0,4,9,Obama +6,28.0
30,Mason-Dixon,2007-12-06,400.0,27.0,21.0,25.0,5,9,Clinton +2,28.0
31,Strategic Vision (R),2007-12-02,600.0,25.0,25.0,32.0,5,3,Obama +7,32.0
32,Zogby,2007-12-01,514.0,27.0,21.0,24.0,5,8,Clinton +3,33.0
33,American Res. Group,2007-11-29,600.0,25.0,23.0,27.0,8,4,Obama +2,35.0
34,Des Moines Register,2007-11-28,500.0,25.0,23.0,28.0,6,9,Obama +3,36.0
35,Rasmussen Reports,2007-11-27,1156.0,27.0,24.0,25.0,4,10,Clinton +2,37.0
36,Strategic Vision (R),2007-11-25,600.0,29.0,23.0,29.0,4,6,Tie,39.0
37,AP-Pew,2007-11-25,460.0,31.0,19.0,26.0,2,10,Clinton +5,39.0
38,ABC,2007-11-18,500.0,26.0,22.0,30.0,4,11,Obama +4,46.0
39,Iowa State,2007-11-18,,31.0,24.0,20.0,4,11,Clinton +7,46.0
40,Research 2000,2007-11-14,400.0,27.0,21.0,25.0,4,10,Clinton +2,50.0
41,American Res. Group,2007-11-14,600.0,27.0,20.0,21.0,5,12,Clinton +6,50.0
42,Rasmussen Reports,2007-11-12,1239.0,29.0,25.0,24.0,3,10,Clinton +4,52.0
43,Strategic Vision (R),2007-11-12,600.0,29.0,20.0,27.0,5,7,Clinton +2,52.0
44,CBS News,2007-11-12,319.0,25.0,23.0,22.0,4,12,Clinton +2,52.0
45,Zogby,2007-11-06,502.0,28.0,21.0,25.0,3,9,Clinton +3,58.0
46,American Res. Group,2007-10-29,600.0,32.0,15.0,22.0,5,7,Clinton +10,66.0
47,Univ. of Iowa,2007-10-24,306.0,29.0,20.0,27.0,5,7,Clinton +2,71.0
48,Strategic Vision (R),2007-10-14,600.0,28.0,20.0,23.0,6,9,Clinton +5,81.0
49,Rasmussen Reports,2007-10-14,1007.0,33.0,22.0,21.0,4,7,Clinton +11,81.0
50,Des Moines Register,2007-10-03,399.0,29.0,23.0,22.0,5,8,Clinton +6,92.0
51,American Res. Group,2007-09-29,600.0,30.0,19.0,24.0,3,10,Clinton +6,96.0
52,Newsweek,2007-09-27,,24.0,22.0,28.0,3,10,Obama +4,98.0
53,Strategic Vision (R),2007-09-23,,24.0,22.0,21.0,4,13,Clinton +2,102.0
54,LA Times,2007-09-10,462.0,28.0,23.0,19.0,2,10,Clinton +5,115.0
55,American Res. Group,2007-08-29,600.0,28.0,20.0,23.0,1,13,Clinton +5,127.0
56,Time,2007-08-25,519.0,24.0,29.0,22.0,5,11,Edwards +5,131.0
57,Strategic Vision (R),2007-08-19,600.0,21.0,23.0,22.0,5,14,Edwards +1,137.0
58,Zogby,2007-08-18,503.0,30.0,23.0,19.0,3,10,Clinton +7,138.0
59,Univ. of Iowa,2007-08-05,425.0,27.0,22.0,22.0,--,9,Clinton +5,151.0
60,Hart Research (D),2007-08-03,509.0,22.0,30.0,18.0,5,13,Edwards +8,153.0
61,ABC News,2007-07-31,500.0,26.0,26.0,27.0,2,11,Obama +1,156.0
62,American Res. Group,2007-07-30,600.0,30.0,21.0,15.0,3,13,Clinton +9,157.0
63,Research 2000,2007-07-25,400.0,22.0,27.0,16.0,3,11,Edwards +5,162.0
64,American Res. Group,2007-06-30,600.0,32.0,29.0,13.0,2,5,Clinton +3,187.0
65,Strategic Vision (R),2007-06-24,600.0,20.0,26.0,21.0,4,11,Edwards +5,193.0
66,"Fairbank, Maslin, Maullin & Assoc (D)",2007-06-20,500.0,24.0,34.0,17.0,3,13,Edwards +10,197.0
67,Mason-Dixon,2007-06-16,400.0,22.0,21.0,18.0,4,6,Clinton +1,201.0
68,American Res. Group,2007-05-26,600.0,31.0,25.0,11.0,3,8,Clinton +6,222.0
69,Strategic Vision (R),2007-05-20,600.0,16.0,29.0,24.0,3,9,Edwards +5,228.0
70,Research 2000,2007-05-16,400.0,28.0,26.0,22.0,2,7,Clinton +2,232.0
71,Des Moines Register,2007-05-16,400.0,21.0,29.0,23.0,3,10,Edwards +6,232.0
72,Zogby,2007-05-15,511.0,24.0,26.0,22.0,4,6,Edwards +2,233.0
73,American Res. Group,2007-04-30,600.0,23.0,27.0,19.0,6,5,Edwards +4,248.0
74,Strategic Vision (R),2007-04-01,600.0,19.0,27.0,20.0,4,4,Edwards +7,277.0
75,Univ. of Iowa,2007-03-31,298.0,29.0,34.0,19.0,--,--,Edwards +5,278.0
76,Zogby,2007-03-26,506.0,25.0,27.0,23.0,3,3,Edwards +2,283.0
77,American Res. Group,2007-03-22,600.0,34.0,33.0,16.0,2,1,Clinton +1,287.0
78,Strategic Vision (R),2007-02-18,600.0,18.0,24.0,18.0,5,3,Edwards +6,319.0
79,Zogby,2007-02-09,500.0,24.0,24.0,18.0,4,--,Tie,328.0
80,American Res. Group,2007-02-01,600.0,35.0,18.0,14.0,2,1,Clinton +17,336.0
81,Strategic Vision (R),2007-01-21,600.0,15.0,25.0,17.0,4,1,Edwards +8,347.0
82,Zogby,2007-01-16,596.0,16.0,27.0,17.0,3,1,Edwards +10,352.0
83,American Res. Group,2006-12-23,600.0,31.0,20.0,10.0,2,1,Clinton +11,376.0
84,Research 2000,2006-12-20,400.0,10.0,22.0,22.0,1,1,Tie,379.0
85,Harstad Strategic Res. (D),2006-10-19,602.0,16.0,36.0,13.0,5,--,Edwards +20,441.0
