,Poll,Date,Sample,MoE,Clinton,Sanders,O'Malley,Spread,Days_Out
0,Final Results,,,--,49.8,49.6,0.5,Clinton +0.2,
1,RCP Average,2016-01-31,,--,47.9,43.9,4.3,Clinton +4.0,1.0
2,Emerson,2016-01-31,300.0,5.6,51.0,43,4,Clinton +8,1.0
3,Quinnipiac,2016-01-31,919.0,5.9,46.0,49,3,Sanders +3,1.0
4,Des Moines Register,2016-01-29,602.0,4.0,45.0,42,3,Clinton +3,3.0
5,NBC,2016-01-26,426.0,4.7,48.0,45,3,Clinton +3,6.0
6,PPP(D),2016-01-27,851.0,3.4,48.0,40,7,Clinton +8,5.0
7,Gravis Marketing,2016-01-27,810.0,3.0,53.0,42,5,Clinton +11,5.0
8,Monmouth,2016-01-26,504.0,4.4,47.0,42,6,Clinton +5,6.0
9,ARG,2016-01-24,400.0,5.0,45.0,48,3,Sanders +3,8.0
10,Quinnipiac,2016-01-24,606.0,4.0,45.0,49,4,Sanders +4,8.0
11,FOX News,2016-01-21,432.0,4.5,48.0,42,3,Clinton +6,11.0
12,CBS News,2016-01-21,490.0,8.9,46.0,47,5,Sanders +1,11.0
13,Emerson,2016-01-20,271.0,5.9,52.0,43,3,Clinton +9,12.0
14,KBUR,2016-01-19,570.0,4.1,48.0,39,7,Clinton +9,13.0
15,CNN,2016-01-20,280.0,6.0,43.0,51,4,Sanders +8,12.0
16,Loras College,2016-01-18,500.0,3.1,59.0,30,7,Clinton +29,14.0
17,Iowa St. Univ.,2016-01-22,518.0,--,47.0,45,1,Clinton +2,10.0
18,Gravis Marketing,2016-01-12,461.0,5.0,57.0,36,7,Clinton +21,20.0
19,PPP(D),2016-01-10,580.0,4.1,46.0,40,8,Clinton +6,22.0
20,Des Moines Register,2016-01-10,503.0,4.4,42.0,40,4,Clinton +2,22.0
21,ARG,2016-01-10,400.0,5.0,44.0,47,3,Sanders +3,22.0
22,Quinnipiac,2016-01-10,492.0,4.4,44.0,49,4,Sanders +5,22.0
23,NBC,2016-01-07,422.0,4.8,48.0,45,5,Clinton +3,25.0
24,Gravis Marketing,2015-12-21,418.0,5.0,49.0,31,10,Clinton +18,42.0
25,CBS News,2015-12-17,459.0,8.6,50.0,45,4,Clinton +5,46.0
26,PPP(D),2015-12-13,526.0,4.3,52.0,34,7,Clinton +18,50.0
27,Des Moines Register,2015-12-10,404.0,4.9,48.0,39,4,Clinton +9,53.0
28,FOX News,2015-12-10,357.0,5.0,50.0,36,5,Clinton +14,53.0
29,Loras College,2015-12-10,501.0,4.4,59.0,27,4,Clinton +32,53.0
30,Quinnipiac,2015-12-13,727.0,3.6,51.0,40,6,Clinton +11,50.0
31,Monmouth,2015-12-06,405.0,4.9,55.0,33,6,Clinton +22,57.0
32,CNN,2015-12-06,442.0,4.5,54.0,36,4,Clinton +18,57.0
33,Quinnipiac,2015-11-22,543.0,4.2,51.0,42,4,Clinton +9,71.0
34,CBS News,2015-11-19,602.0,7.6,50.0,44,5,Clinton +6,74.0
35,Iowa St. Univ.,2015-11-15,496.0,--,50.0,28,3,Clinton +22,78.0
36,CNN,2015-11-04,498.0,4.5,55.0,37,3,Clinton +18,89.0
37,PPP(D),2015-11-01,615.0,3.9,57.0,25,7,Clinton +32,92.0
38,Gravis Marketing,2015-10-29,273.0,6.0,57.0,25,3,Clinton +32,95.0
39,KBUR,2015-10-31,681.0,3.8,46.0,32,5,Clinton +14,93.0
40,Monmouth,2015-10-25,400.0,4.9,65.0,24,5,Clinton +41,99.0
41,Loras College,2015-10-22,500.0,4.4,62.0,24,3,Clinton +38,102.0
42,CBS,2015-10-22,554.0,6.9,46.0,43,3,Clinton +3,102.0
