,Poll,Date,Sample,Clinton,Edwards,Obama,Richardson,Spread,Days_Out
0,Final Results,,,39.0,16.9,36.4,4.6,Clinton +2.6,
1,RCP Average,2008-01-07,,30.0,18.3,38.3,5.7,Obama +8.3,1.0
2,American Res. Group,2008-01-07,600.0,31.0,20.0,40.0,4,Obama +9,1.0
3,Suffolk University,2008-01-07,500.0,34.0,15.0,39.0,4,Obama +5,1.0
4,Rasmussen Reports,2008-01-07,1774.0,30.0,19.0,37.0,8,Obama +7,1.0
5,ReutersC-Span,2008-01-07,862.0,29.0,17.0,42.0,5,Obama +13,1.0
6,CBS News,2008-01-06,323.0,28.0,19.0,35.0,5,Obama +7,2.0
7,Rasmussen Reports,2008-01-06,1203.0,28.0,18.0,38.0,8,Obama +10,2.0
8,Marist,2008-01-06,636.0,28.0,22.0,36.0,7,Obama +8,2.0
9,Suffolk University,2008-01-06,500.0,34.0,15.0,35.0,3,Obama +1,2.0
10,CNN,2008-01-06,599.0,30.0,16.0,39.0,7,Obama +9,2.0
11,FOX News,2008-01-06,500.0,28.0,18.0,32.0,6,Obama +4,2.0
12,American Res. Group,2008-01-06,600.0,28.0,22.0,39.0,4,Obama +11,2.0
13,Reuters,2008-01-06,844.0,29.0,19.0,39.0,--,Obama +10,2.0
14,Strategic Vision (R),2008-01-06,600.0,29.0,19.0,38.0,7,Obama +9,2.0
15,Franklin Pierce,2008-01-06,403.0,31.0,20.0,34.0,6,Obama +3,2.0
16,USA Today,2008-01-06,778.0,28.0,19.0,41.0,6,Obama +13,2.0
17,Rasmussen Reports,2008-01-05,1210.0,27.0,18.0,39.0,8,Obama +12,3.0
18,Suffolk University,2008-01-05,500.0,35.0,14.0,33.0,5,Clinton +2,3.0
19,CNN,2008-01-05,359.0,33.0,20.0,33.0,4,Tie,3.0
20,Concord Monitor,2008-01-05,400.0,33.0,23.0,34.0,4,Obama +1,3.0
21,American Res. Group,2008-01-05,600.0,26.0,20.0,38.0,3,Obama +12,3.0
22,Reuters,2008-01-05,844.0,31.0,20.0,30.0,7,Clinton +1,3.0
23,Rasmussen Reports,2008-01-04,510.0,27.0,19.0,37.0,8,Obama +10,4.0
24,Suffolk University,2008-01-04,500.0,36.0,13.0,29.0,4,Clinton +7,4.0
25,Mason-Dixon,2008-01-04,600.0,31.0,17.0,33.0,7,Obama +2,4.0
26,Reuters,2008-01-04,893.0,32.0,20.0,28.0,7,Clinton +4,4.0
27,Suffolk University,2008-01-03,500.0,37.0,15.0,25.0,4,Clinton +12,5.0
28,American Res. Group,2008-01-03,600.0,35.0,15.0,31.0,5,Clinton +4,5.0
29,Reuters,2008-01-03,960.0,32.0,20.0,26.0,7,Clinton +6,5.0
30,Suffolk University,2008-01-02,500.0,39.0,17.0,23.0,5,Clinton +16,6.0
31,Suffolk University,2008-01-01,500.0,37.0,16.0,20.0,5,Clinton +17,7.0
32,Franklin Pierce,2007-12-31,403.0,32.0,19.0,28.0,8,Clinton +4,8.0
33,Suffolk University,2007-12-31,300.0,36.0,14.0,22.0,7,Clinton +14,8.0
34,CNN,2007-12-30,521.0,34.0,17.0,30.0,5,Clinton +4,9.0
35,American Res. Group,2007-12-29,600.0,31.0,21.0,27.0,5,Clinton +4,10.0
36,LA Times,2007-12-26,361.0,30.0,20.0,32.0,4,Obama +2,13.0
37,Boston Globe,2007-12-20,420.0,28.0,14.0,30.0,7,Obama +2,19.0
38,USA Today,2007-12-19,510.0,32.0,18.0,32.0,8,Tie,20.0
39,American Res. Group,2007-12-19,600.0,38.0,15.0,24.0,5,Clinton +14,20.0
40,Rasmussen Reports,2007-12-18,791.0,31.0,18.0,28.0,8,Clinton +3,21.0
41,CNN,2007-12-17,469.0,38.0,14.0,26.0,8,Clinton +12,22.0
42,FOX News,2007-12-13,500.0,34.0,15.0,25.0,6,Clinton +9,26.0
43,Concord Monitor,2007-12-12,600.0,31.0,18.0,32.0,8,Obama +1,27.0
44,Rasmussen Reports,2007-12-11,841.0,28.0,17.0,31.0,8,Obama +3,28.0
45,Suffolk University,2007-12-11,300.0,33.0,15.0,26.0,5,Clinton +7,28.0
46,CNN,2007-12-10,378.0,31.0,16.0,30.0,7,Clinton +1,29.0
47,Mason-Dixon,2007-12-06,400.0,30.0,10.0,27.0,7,Clinton +3,33.0
48,Zogby,2007-12-03,502.0,32.0,16.0,21.0,6,Clinton +11,36.0
49,ABC,2007-12-03,592.0,35.0,17.0,29.0,10,Clinton +6,36.0
50,Marist,2007-12-02,604.0,37.0,18.0,24.0,8,Clinton +13,37.0
51,Rasmussen Reports,2007-11-29,959.0,33.0,15.0,26.0,9,Clinton +7,40.0
52,FOX News,2007-11-29,,30.0,17.0,23.0,12,Clinton +7,40.0
53,American Res. Group,2007-11-29,600.0,34.0,17.0,23.0,10,Clinton +11,40.0
54,Suffolk University,2007-11-27,300.0,34.0,15.0,22.0,9,Clinton +12,42.0
55,AP-Pew,2007-11-25,594.0,38.0,15.0,19.0,10,Clinton +19,44.0
56,CNN,2007-11-18,389.0,36.0,13.0,22.0,12,Clinton +14,51.0
57,CBS News,2007-11-12,279.0,37.0,9.0,22.0,6,Clinton +15,57.0
58,Boston Globe,2007-11-07,400.0,35.0,15.0,21.0,10,Clinton +14,62.0
59,Marist,2007-11-06,658.0,38.0,14.0,26.0,6,Clinton +12,63.0
60,Rasmussen Reports,2007-11-05,628.0,34.0,15.0,24.0,8,Clinton +10,64.0
61,American Res. Group,2007-10-29,600.0,40.0,10.0,22.0,5,Clinton +18,71.0
62,Rasmussen Reports,2007-10-23,841.0,38.0,14.0,22.0,7,Clinton +16,77.0
63,St. Anselm,2007-10-21,613.0,43.0,14.0,22.0,6,Clinton +21,79.0
64,Marist,2007-10-09,661.0,43.0,12.0,21.0,8,Clinton +22,91.0
65,American Res. Group,2007-09-29,600.0,41.0,10.0,22.0,8,Clinton +19,101.0
66,Zogby,2007-09-28,505.0,38.0,12.0,23.0,8,Clinton +15,102.0
67,CNN,2007-09-24,307.0,43.0,12.0,20.0,6,Clinton +23,106.0
68,Rasmussen Reports,2007-09-16,500.0,40.0,14.0,17.0,11,Clinton +23,114.0
69,Franklin Pierce,2007-09-14,403.0,39.0,12.0,19.0,11,Clinton +20,116.0
70,LA Times,2007-09-10,618.0,35.0,16.0,16.0,8,Clinton +19,120.0
71,American Res. Group,2007-08-29,600.0,37.0,14.0,17.0,7,Clinton +20,132.0
72,Rasmussen Reports,2007-08-09,453.0,37.0,14.0,22.0,9,Clinton +15,152.0
73,American Res. Group,2007-07-30,600.0,31.0,14.0,31.0,7,Tie,162.0
74,Hart,2007-07-26,504.0,36.0,15.0,19.0,12,Clinton +17,166.0
75,CNN,2007-07-17,333.0,33.0,8.0,25.0,10,Clinton +8,175.0
76,Monitor,2007-07-11,400.0,27.0,10.0,23.0,8,Clinton +4,181.0
77,American Res. Group,2007-06-30,600.0,34.0,11.0,25.0,6,Clinton +9,192.0
78,Rasmussen Reports,2007-06-28,428.0,38.0,10.0,21.0,9,Clinton +17,194.0
79,Suffolk University,2007-06-24,232.0,37.0,9.0,19.0,9,Clinton +18,198.0
80,CNN,2007-06-10,309.0,36.0,12.0,22.0,10,Clinton +14,212.0
81,Mason-Dixon,2007-06-07,,26.0,18.0,21.0,9,Clinton +5,215.0
82,Franklin Pierce,2007-06-04,424.0,38.0,13.0,16.0,8,Clinton +22,218.0
83,American Res. Group,2007-05-27,600.0,34.0,18.0,15.0,9,Clinton +16,226.0
