,Poll,Date,Sample,MoE,Sanders,Clinton,Spread,Days_Out
0,Final Results,,,--,60.4,38.0,Sanders +22.4,
1,RCP Average,2016-02-08,,--,54.5,41.2,Sanders +13.3,1.0
2,ARG,2016-02-08,409.0,5.0,53,44.0,Sanders +9,1.0
3,UMass Lowell,2016-02-07,407.0,5.5,56,40.0,Sanders +16,2.0
4,CNN,2016-02-08,363.0,5.1,61,35.0,Sanders +26,1.0
5,Emerson,2016-02-07,783.0,3.7,54,42.0,Sanders +12,2.0
6,ARG,2016-02-07,408.0,5.0,53,41.0,Sanders +12,2.0
7,Monmouth,2016-02-06,502.0,4.4,52,42.0,Sanders +10,3.0
8,ARG,2016-02-06,408.0,5.0,53,42.0,Sanders +11,3.0
9,UMass,2016-02-06,428.0,5.4,57,40.0,Sanders +17,3.0
10,CNN,2016-02-06,406.0,4.9,58,35.0,Sanders +23,3.0
11,Boston Herald,2016-02-06,407.0,4.9,51,44.0,Sanders +7,3.0
12,ARG,2016-02-05,405.0,5.0,53,41.0,Sanders +12,4.0
13,UMass,2016-02-05,433.0,5.2,55,41.0,Sanders +14,4.0
14,ARG,2016-02-04,409.0,5.0,54,38.0,Sanders +16,5.0
15,UMass,2016-02-04,434.0,5.2,55,40.0,Sanders +15,5.0
16,Suffolk University,2016-02-04,500.0,4.4,50,41.0,Sanders +9,5.0
17,CNN,2016-02-04,228.0,6.5,61,30.0,Sanders +31,5.0
18,WBUR,2016-02-04,393.0,4.9,54,39.0,Sanders +15,5.0
19,Gravis Marketing,2016-02-04,702.0,3.7,58,42.0,Sanders +16,5.0
20,NBC,2016-02-03,567.0,4.1,58,38.0,Sanders +20,6.0
21,UMass,2016-02-03,420.0,5.3,58,36.0,Sanders +22,6.0
22,ARG,2016-02-03,410.0,5.0,54,38.0,Sanders +16,6.0
23,UMass,2016-02-02,415.0,5.4,61,32.0,Sanders +29,7.0
24,UMass Amherst,2016-02-02,410.0,6.6,58,35.0,Sanders +23,7.0
25,UMass,2016-02-01,443.0,5.3,63,30.0,Sanders +33,8.0
26,ARG,2016-01-31,600.0,4.0,49,43.0,Sanders +6,9.0
27,UMass,2016-01-31,442.0,5.3,61,30.0,Sanders +31,9.0
28,CNN,2016-01-30,347.0,5.3,57,34.0,Sanders +23,10.0
29,Boston Herald,2016-01-30,409.0,4.9,57,37.0,Sanders +20,10.0
30,Emerson,2016-01-26,350.0,5.2,52,44.0,Sanders +8,14.0
31,ARG,2016-01-25,600.0,4.0,49,42.0,Sanders +7,15.0
