,Poll,Date,Sample,Sanders,Biden,Buttigieg,Warren,Klobuchar,Yang,Steyer,Gabbard,Bloomberg,Spread,Days_Out
0,Final Results,,,24.7,14.9,21.3,18.5,12.7,5.1,1.7,0.2,0.1,Sanders +3.4,
1,RCP Average,2020-02-02,,23.0,19.3,16.8,15.5,9.0,3.3,3.0,1.5,1.0,Sanders +3.7,9.0
2,Emerson,2020-02-02,853.0,28.0,21.0,15,14.0,11.0,5,4,1,--,Sanders +7,9.0
3,FRA,2020-01-30,300.0,17.0,15.0,19,15.0,11.0,1,3,3,1,Buttigieg +2,12.0
4,DFP,2020-01-29,615.0,28.0,15.0,15,21.0,8.0,5,2,2,--,Sanders +7,13.0
5,Monmouth,2020-01-27,544.0,21.0,23.0,16,15.0,10.0,3,4,1,--,Biden +2,15.0
6,Iowa St.,2020-01-27,655.0,24.0,15.0,17,19.0,11.0,5,4,2,1,Sanders +5,15.0
7,Emerson,2020-01-26,450.0,30.0,21.0,10,11.0,13.0,5,5,5,--,Sanders +9,16.0
8,Suffolk University,2020-01-26,500.0,19.0,25.0,18,13.0,6.0,3,2,1,--,Biden +6,16.0
9,NY Times,2020-01-23,584.0,25.0,17.0,18,15.0,8.0,3,3,1,1,Sanders +7,19.0
10,CBS News,2020-01-23,1356.0,26.0,25.0,22,15.0,7.0,1,1,0,--,Sanders +1,19.0
11,FRA,2020-01-18,500.0,14.0,24.0,16,18.0,11.0,3,4,1,1,Biden +6,24.0
12,Monmouth,2020-01-12,405.0,18.0,24.0,17,15.0,8.0,3,4,2,--,Biden +6,30.0
13,CNN,2020-01-08,701.0,20.0,15.0,16,17.0,6.0,5,2,2,1,Sanders +3,34.0
14,CBS News,2020-01-03,953.0,23.0,23.0,23,16.0,7.0,2,2,1,--,Tie,39.0
15,Iowa St.,2019-12-16,632.0,21.0,15.0,24,18.0,4.0,3,2,3,0,Buttigieg +3,57.0
16,Emerson,2019-12-10,325.0,22.0,23.0,18,12.0,10.0,2,3,2,2,Biden +1,63.0
17,Iowa St.,2019-11-19,614.0,18.0,12.0,26,19.0,5.0,4,2,2,1,Buttigieg +7,84.0
18,CNN,2019-11-13,500.0,15.0,15.0,25,16.0,6.0,3,3,3,2,Buttigieg +9,90.0
19,CBS News,2019-11-13,856.0,22.0,22.0,21,18.0,5.0,1,2,0,--,Tie,90.0
20,Monmouth,2019-11-11,961.0,13.0,19.0,22,18.0,5.0,3,3,2,0,Buttigieg +3,92.0
21,Univ. of Iowa,2019-10-10,465.0,18.0,15.0,16,23.0,1.0,3,3,3,--,Warren +5,124.0
22,Quinnipiac,2019-11-05,698.0,17.0,15.0,19,20.0,5.0,3,3,3,--,Warren +1,98.0
23,NY Times,2019-10-30,439.0,19.0,17.0,18,22.0,4.0,3,2,2,--,Warren +3,104.0
24,Iowa St.,2019-10-22,598.0,18.0,12.0,20,28.0,4.0,2,3,2,--,Warren +8,112.0
25,Suffolk University,2019-10-18,500.0,9.0,18.0,13,17.0,3.0,1,3,3,--,Biden +1,116.0
26,Emerson,2019-10-16,888.0,13.0,23.0,16,23.0,1.0,5,2,2,--,Tie,118.0
27,CBS News,2019-10-11,729.0,21.0,22.0,14,22.0,2.0,0,3,1,--,Tie,123.0
28,CNN,2019-09-18,602.0,11.0,20.0,9,22.0,3.0,2,2,2,--,Warren +2,146.0
29,Iowa St.,2019-09-17,572.0,16.0,16.0,13,24.0,3.0,3,2,4,--,Warren +8,147.0
30,FRA,2019-09-17,500.0,9.0,25.0,12,23.0,8.0,2,3,1,--,Biden +2,147.0
31,CBS News,2019-09-04,,26.0,29.0,7,17.0,2.0,1,2,1,--,Biden +3,160.0
32,Monmouth,2019-08-04,401.0,9.0,28.0,8,19.0,3.0,2,3,1,--,Biden +9,191.0
33,CBS News,2019-07-18,706.0,19.0,24.0,7,17.0,4.0,0,2,0,--,Biden +5,208.0
34,FRA,2019-07-01,600.0,12.0,17.0,10,20.0,4.0,1,--,1,--,Warren +2,225.0
35,Suffolk University,2019-07-01,500.0,9.0,24.0,6,13.0,2.0,1,--,1,--,Biden +8,225.0
36,CNN,2019-06-05,600.0,16.0,24.0,14,15.0,2.0,1,--,1,--,Biden +8,251.0
37,CBS News,2019-06-12,587.0,22.0,30.0,11,12.0,4.0,0,--,1,--,Biden +8,244.0
38,Gravis Marketing,2019-04-18,590.0,19.0,19.0,14,6.0,4.0,1,--,1,--,Tie,299.0
39,Monmouth,2019-04-09,351.0,16.0,27.0,9,7.0,4.0,1,--,0,--,Biden +11,308.0
40,Emerson,2019-03-24,249.0,24.0,25.0,11,9.0,2.0,0,--,1,--,Biden +1,324.0
41,FRA,2019-03-24,500.0,17.0,25.0,6,8.0,6.0,1,--,1,--,Biden +8,324.0
42,CNN,2019-03-06,401.0,25.0,27.0,1,9.0,3.0,0,--,0,--,Biden +2,342.0
43,Emerson,2019-02-02,260.0,15.0,29.0,--,11.0,3.0,--,--,--,--,Biden +11,374.0
44,CNN,2019-12-13,455.0,19.0,32.0,--,8.0,3.0,--,--,--,3,Biden +13,60.0
