,Poll,Date,Sample,MoE,Obama (D),McCain (R),Spread,Days_Out
0,Final Results,,,--,52.9,45.6,Obama +7.3,
1,RCP Average,2008-11-03,,--,52.1,44.5,Obama +7.6,1.0
2,Marist,2008-11-03,804.0,4.0,52.0,43.0,Obama +9,1.0
3,Battleground (Lake),2008-11-03,800.0,3.5,52.0,47.0,Obama +5,1.0
4,Battleground (Tarrance),2008-11-03,800.0,3.5,50.0,48.0,Obama +2,1.0
5,Rasmussen Reports,2008-11-03,3000.0,2.0,52.0,46.0,Obama +6,1.0
6,Reuters,2008-11-03,1201.0,2.9,54.0,43.0,Obama +11,1.0
7,IBD,2008-11-03,981.0,3.2,52.0,44.0,Obama +8,1.0
8,FOX News,2008-11-02,971.0,3.0,50.0,43.0,Obama +7,2.0
9,NBC News,2008-11-02,1011.0,3.1,51.0,43.0,Obama +8,2.0
10,Gallup,2008-11-02,2472.0,2.0,55.0,44.0,Obama +11,2.0
11,Diageo,2008-11-02,887.0,3.3,50.0,45.0,Obama +5,2.0
12,CBS News,2008-11-02,714.0,--,51.0,42.0,Obama +9,2.0
13,Ipsos,2008-11-02,760.0,3.6,53.0,46.0,Obama +7,2.0
14,ABC News,2008-11-02,2470.0,2.5,53.0,44.0,Obama +9,2.0
15,CNN,2008-11-01,714.0,3.5,53.0,46.0,Obama +7,3.0
16,Pew Research,2008-11-01,2587.0,2.0,52.0,46.0,Obama +6,3.0
17,GWU,2008-11-02,800.0,3.5,50.0,44.0,Obama +6,2.0
18,Gallup (Traditional),2008-11-01,2503.0,2.0,51.0,43.0,Obama +8,3.0
19,Gallup (Expanded),2008-11-01,2475.0,2.0,52.0,43.0,Obama +9,3.0
20,Marist,2008-10-29,543.0,4.5,50.0,43.0,Obama +7,6.0
21,FOX News,2008-10-29,924.0,3.0,47.0,44.0,Obama +3,6.0
22,CBS News,2008-10-29,1005.0,--,52.0,41.0,Obama +11,6.0
23,Ipsos,2008-10-27,831.0,3.4,50.0,45.0,Obama +5,8.0
24,Rasmussen Reports,2008-10-26,3000.0,2.0,51.0,46.0,Obama +5,9.0
25,Gallup (Traditional),2008-10-26,2446.0,2.0,50.0,45.0,Obama +5,9.0
26,Gallup (Expanded),2008-10-26,2343.0,2.0,53.0,43.0,Obama +10,9.0
27,Diageo,2008-10-26,879.0,3.6,50.0,42.0,Obama +8,9.0
28,Reuters,2008-10-26,1203.0,2.9,50.0,45.0,Obama +5,9.0
29,ABC News,2008-10-26,1314.0,2.5,52.0,45.0,Obama +7,9.0
30,Pew Research,2008-10-26,1198.0,3.5,53.0,38.0,Obama +15,9.0
31,IBD,2008-10-26,824.0,3.5,47.0,44.0,Obama +3,9.0
32,GWU,2008-10-26,1000.0,3.5,49.0,46.0,Obama +3,9.0
33,Newsweek,2008-10-23,882.0,4.0,53.0,41.0,Obama +12,12.0
34,Rasmussen Reports,2008-10-22,3000.0,2.0,52.0,45.0,Obama +7,13.0
35,Gallup (Traditional),2008-10-22,2399.0,2.0,50.0,46.0,Obama +4,13.0
36,Gallup (Expanded),2008-10-22,2349.0,2.0,51.0,45.0,Obama +6,13.0
37,Diageo,2008-10-22,769.0,3.5,48.0,43.0,Obama +5,13.0
38,Reuters,2008-10-22,1206.0,2.9,52.0,40.0,Obama +12,13.0
39,ABC News,2008-10-22,1335.0,2.5,54.0,43.0,Obama +11,13.0
40,IBD,2008-10-22,1060.0,3.5,45.0,44.0,Obama +1,13.0
41,GWU,2008-10-22,1000.0,3.5,49.0,45.0,Obama +4,13.0
42,FOX News,2008-10-21,936.0,3.0,49.0,40.0,Obama +9,14.0
43,CBS News,2008-10-22,771.0,--,52.0,39.0,Obama +13,13.0
44,NBC News,2008-10-20,1159.0,2.9,52.0,42.0,Obama +10,15.0
