,Poll,Date,Sample,MoE,Clinton (D),Trump (R),Spread,Days_Out
0,Final Results,,,--,48.2,46.1,Clinton +2.1,
1,RCP Average,2016-11-07,,--,46.8,43.6,Clinton +3.2,1.0
2,Bloomberg,2016-11-06,799.0,3.5,46.0,43.0,Clinton +3,2.0
3,IBD,2016-11-07,1107.0,3.1,43.0,42.0,Clinton +1,1.0
4,Economist,2016-11-07,3669.0,--,49.0,45.0,Clinton +4,1.0
5,LA Times,2016-11-07,2935.0,4.5,44.0,47.0,Trump +3,1.0
6,ABC,2016-11-06,2220.0,2.5,49.0,46.0,Clinton +3,2.0
7,FOX News,2016-11-06,1295.0,2.5,48.0,44.0,Clinton +4,2.0
8,Monmouth,2016-11-06,748.0,3.6,50.0,44.0,Clinton +6,2.0
9,NBC News,2016-11-05,1282.0,2.7,48.0,43.0,Clinton +5,3.0
10,CBS News,2016-11-06,1426.0,3.0,47.0,43.0,Clinton +4,2.0
11,Reuters,2016-11-06,2196.0,2.3,44.0,39.0,Clinton +5,2.0
12,McClatchy,2016-11-03,940.0,3.2,46.0,44.0,Clinton +2,5.0
13,FOX News,2016-11-03,1107.0,3.0,46.0,45.0,Clinton +1,5.0
14,NBC News,2016-11-06,30145.0,1.0,51.0,44.0,Clinton +7,2.0
15,Reuters,2016-11-04,2244.0,2.2,44.0,40.0,Clinton +4,4.0
16,Gravis Marketing,2016-10-31,5360.0,1.3,50.0,50.0,Tie,8.0
17,Reuters,2016-11-03,2021.0,2.5,44.0,39.0,Clinton +5,5.0
18,Economist,2016-11-01,1233.0,3.2,48.0,45.0,Clinton +3,7.0
19,Reuters,2016-11-02,1858.0,2.6,45.0,39.0,Clinton +6,6.0
20,CBS News,2016-11-01,1333.0,3.0,47.0,44.0,Clinton +3,7.0
21,ABC,2016-10-30,1128.0,3.0,48.0,47.0,Clinton +1,9.0
22,LA Times,2016-10-31,3145.0,4.5,43.0,47.0,Trump +4,8.0
23,IBD,2016-10-30,1013.0,3.3,45.0,43.0,Clinton +2,9.0
24,NBC News,2016-10-30,40816.0,1.0,51.0,44.0,Clinton +7,9.0
25,LA Times,2016-10-28,3248.0,4.5,44.0,46.0,Trump +2,11.0
26,ABC,2016-10-26,1109.0,3.0,50.0,45.0,Clinton +5,13.0
27,Economist,2016-10-26,1209.0,3.3,49.0,46.0,Clinton +3,13.0
28,FOX News,2016-10-25,1221.0,2.5,49.0,44.0,Clinton +5,14.0
29,IBD,2016-10-25,921.0,3.3,43.0,41.0,Clinton +2,14.0
30,Pew ResearchPew,2016-10-25,2120.0,2.4,50.0,43.0,Clinton +7,14.0
31,ABC News Tracking,2016-10-24,1119.0,3.0,51.0,43.0,Clinton +8,15.0
32,CNBC,2016-10-24,,--,47.0,37.0,Clinton +10,15.0
33,LA Times,2016-10-25,3145.0,4.5,44.0,45.0,Trump +1,14.0
34,Suffolk University,2016-10-24,1000.0,3.0,49.0,39.0,Clinton +10,15.0
35,Asociated Pres-GfKAP-GfK,2016-10-24,1212.0,--,54.0,41.0,Clinton +13,15.0
36,Reuters,2016-10-24,1170.0,3.3,43.0,37.0,Clinton +6,15.0
37,ABC News Tracking,2016-10-23,611.0,4.5,53.0,41.0,Clinton +12,16.0
38,Gravis Marketing,2016-10-23,2109.0,2.1,50.0,50.0,Tie,16.0
39,CNN,2016-10-23,779.0,3.5,51.0,45.0,Clinton +6,16.0
40,NBC News,2016-10-23,32255.0,1.0,50.0,44.0,Clinton +6,16.0
41,Quinnipiac,2016-10-18,1007.0,3.1,50.0,44.0,Clinton +6,21.0
42,Economist,2016-10-18,925.0,3.9,47.0,43.0,Clinton +4,21.0
43,FOX News,2016-10-17,912.0,3.0,49.0,42.0,Clinton +7,22.0
44,Bloomberg,2016-10-17,1006.0,3.1,50.0,41.0,Clinton +9,22.0
45,Reuters,2016-10-17,1190.0,3.3,43.0,39.0,Clinton +4,22.0
46,Monmouth,2016-10-16,726.0,3.6,53.0,41.0,Clinton +12,23.0
47,CBS News,2016-10-16,1189.0,3.0,51.0,40.0,Clinton +11,23.0
48,NBC News,2016-10-16,24804.0,1.0,51.0,43.0,Clinton +8,23.0
49,ABC News,2016-10-13,740.0,4.0,50.0,46.0,Clinton +4,26.0
50,NBC News,2016-10-13,905.0,3.3,51.0,41.0,Clinton +10,26.0
51,LA Times,2016-10-15,2946.0,4.5,44.0,45.0,Trump +1,24.0
52,FOX News,2016-10-12,917.0,3.0,49.0,41.0,Clinton +8,27.0
53,NBC News,2016-10-10,806.0,3.5,50.0,40.0,Clinton +10,29.0
54,Reuters,2016-10-10,2363.0,2.2,44.0,37.0,Clinton +7,29.0
55,NBC News,2016-10-09,447.0,4.6,52.0,38.0,Clinton +14,30.0
56,Economist,2016-10-08,971.0,4.2,48.0,43.0,Clinton +5,31.0
57,The Atlantic,2016-10-09,886.0,3.9,49.0,38.0,Clinton +11,30.0
58,LA Times,2016-10-10,2969.0,4.5,43.0,45.0,Trump +2,29.0
59,NBC News,2016-10-09,23329.0,1.0,51.0,44.0,Clinton +7,30.0
60,Quinnipiac,2016-10-06,1064.0,3.0,50.0,44.0,Clinton +6,33.0
61,FOX News,2016-10-06,896.0,3.0,48.0,44.0,Clinton +4,33.0
62,Economist,2016-10-03,911.0,3.9,48.0,43.0,Clinton +5,36.0
63,Reuters,2016-10-03,1239.0,3.2,44.0,37.0,Clinton +7,36.0
64,The Atlantic,2016-10-02,609.0,--,47.0,41.0,Clinton +6,37.0
65,CBS News,2016-10-02,1217.0,4.0,49.0,43.0,Clinton +6,37.0
66,CNN,2016-10-02,1213.0,3.0,51.0,45.0,Clinton +6,37.0
67,LA Times,2016-10-03,2275.0,4.5,43.0,47.0,Trump +4,36.0
68,FOX News,2016-09-29,911.0,3.0,49.0,44.0,Clinton +5,40.0
69,NBC News,2016-10-02,26925.0,1.0,50.0,44.0,Clinton +6,37.0
70,PPP(D),2016-09-28,933.0,3.2,49.0,45.0,Clinton +4,41.0
71,Gravis Marketing,2016-09-27,3386.0,1.7,50.0,50.0,Tie,42.0
72,Reuters,2016-09-26,1041.0,3.5,44.0,38.0,Clinton +6,43.0
73,Quinnipiac,2016-09-25,1115.0,2.9,47.0,46.0,Clinton +1,44.0
74,Bloomberg,2016-09-24,1002.0,3.1,46.0,46.0,Tie,45.0
75,Monmouth,2016-09-25,729.0,3.6,49.0,46.0,Clinton +3,44.0
76,Economist,2016-09-24,948.0,3.8,48.0,44.0,Clinton +4,45.0
77,LA Times,2016-09-26,2726.0,4.5,43.0,46.0,Trump +3,43.0
78,NBC News,2016-09-25,13598.0,1.1,51.0,44.0,Clinton +7,44.0
79,ABC News,2016-09-22,651.0,4.5,49.0,47.0,Clinton +2,47.0
80,Economist,2016-09-19,936.0,4.0,45.0,44.0,Clinton +1,50.0
81,Reuters,2016-09-19,1111.0,3.4,39.0,39.0,Tie,50.0
82,McClatchy,2016-09-20,758.0,3.6,48.0,41.0,Clinton +7,49.0
83,NBC News,2016-09-19,922.0,3.2,48.0,41.0,Clinton +7,50.0
