,Poll,Date,Sample,MoE,Biden (D),Trump (R),Spread,Days_Out
0,Final Results,,,--,51.4,46.9,Biden +4.5,
1,RCP Average,2020-11-02,,--,51.2,44.0,Biden +7.2,1.0
2,Economist,2020-11-02,1363.0,3.3,53.0,43.0,Biden +10,1.0
3,IBD,2020-11-02,1212.0,3.2,50.0,46.0,Biden +4,1.0
4,Reuters,2020-11-02,914.0,3.7,52.0,45.0,Biden +7,1.0
5,CNBC,2020-11-01,1880.0,2.3,52.0,42.0,Biden +10,2.0
6,Rasmussen Reports,2020-11-01,1500.0,2.5,48.0,47.0,Biden +1,2.0
7,Quinnipiac,2020-11-01,1516.0,2.5,50.0,39.0,Biden +11,2.0
8,JTN,2020-10-31,1200.0,2.8,51.0,44.0,Biden +7,3.0
9,NBC News,2020-10-31,1000.0,3.4,52.0,42.0,Biden +10,3.0
10,SurveyUSA,2020-10-31,1265.0,3.2,52.0,44.0,Biden +8,3.0
11,FOX News,2020-10-29,1246.0,2.5,52.0,44.0,Biden +8,5.0
12,Harvard-Harris,2020-10-28,,--,54.0,46.0,Biden +8,6.0
13,The Hill,2020-10-28,2359.0,2.0,49.0,45.0,Biden +4,6.0
14,Emerson,2020-10-26,1121.0,2.8,50.0,45.0,Biden +5,8.0
15,Economist,2020-10-27,1365.0,3.2,54.0,43.0,Biden +11,7.0
16,Reuters,2020-10-27,825.0,3.9,52.0,42.0,Biden +10,7.0
17,Suffolk University,2020-10-27,1000.0,3.1,52.0,44.0,Biden +8,7.0
18,CNN,2020-10-26,886.0,3.8,54.0,42.0,Biden +12,8.0
19,USC DornsifeUSC,2020-11-02,5423.0,--,54.0,43.0,Biden +11,1.0
20,JTN,2020-10-24,1842.0,2.8,51.0,44.0,Biden +7,10.0
21,CNBC,2020-10-24,800.0,3.5,51.0,40.0,Biden +11,10.0
22,Economist,2020-10-20,1344.0,3.2,52.0,43.0,Biden +9,14.0
23,Reuters,2020-10-20,949.0,3.6,51.0,42.0,Biden +9,14.0
24,Quinnipiac,2020-10-19,1426.0,2.6,51.0,41.0,Biden +10,15.0
25,Rasmussen Reports,2020-10-20,2500.0,2.0,49.0,46.0,Biden +3,14.0
26,CNBC,2020-10-18,2711.0,1.9,52.0,42.0,Biden +10,16.0
27,SurveyUSA,2020-10-19,1136.0,3.6,53.0,43.0,Biden +10,15.0
28,NY Times,2020-10-18,987.0,3.4,50.0,41.0,Biden +9,16.0
29,JTN,2020-10-17,1265.0,2.8,51.0,43.0,Biden +8,17.0
30,The Hill,2020-10-15,1897.0,2.3,46.0,42.0,Biden +4,19.0
31,Economist,2020-10-13,1333.0,4.3,52.0,42.0,Biden +10,21.0
32,The Hill,2020-10-13,2855.0,1.8,47.0,40.0,Biden +7,21.0
33,Reuters,2020-10-13,882.0,3.8,51.0,41.0,Biden +10,21.0
34,IBD,2020-10-15,951.0,3.2,49.0,43.0,Biden +6,19.0
35,NBC News,2020-10-12,1000.0,3.1,53.0,42.0,Biden +11,22.0
36,NPR,2020-10-13,819.0,3.9,54.0,43.0,Biden +11,21.0
37,Rasmussen Reports,2020-10-13,2500.0,2.0,50.0,45.0,Biden +5,21.0
38,JTN,2020-10-10,1240.0,2.8,51.0,43.0,Biden +8,24.0
39,ABC News,2020-10-09,725.0,4.0,55.0,43.0,Biden +12,25.0
40,Economist,2020-10-06,1364.0,4.8,51.0,42.0,Biden +9,28.0
41,The Hill,2020-10-06,2841.0,1.8,45.0,40.0,Biden +5,28.0
42,FOX News,2020-10-06,1012.0,3.0,53.0,43.0,Biden +10,28.0
43,Reuters,2020-10-06,882.0,3.8,52.0,40.0,Biden +12,28.0
44,CNBC,2020-10-04,2167.0,2.1,52.0,42.0,Biden +10,30.0
45,Rasmussen Reports,2020-10-06,2500.0,2.0,52.0,40.0,Biden +12,28.0
46,SurveyUSA,2020-10-04,1114.0,3.6,53.0,43.0,Biden +10,30.0
47,CNN,2020-10-04,1001.0,3.6,57.0,41.0,Biden +16,30.0
48,JTN,2020-10-03,763.0,3.5,51.0,43.0,Biden +8,31.0
49,The Hill,2020-10-01,928.0,3.2,47.0,40.0,Biden +7,33.0
50,NBC News,2020-10-01,800.0,3.5,53.0,39.0,Biden +14,33.0
51,IBD,2020-10-01,1030.0,3.5,49.0,46.0,Biden +3,33.0
52,CNBC,2020-09-30,925.0,3.2,54.0,41.0,Biden +13,34.0
53,Economist,2020-09-30,1350.0,4.0,50.0,42.0,Biden +8,34.0
54,Reuters,2020-09-29,864.0,3.8,51.0,42.0,Biden +9,35.0
55,Rasmussen Reports,2020-09-29,3000.0,2.0,51.0,43.0,Biden +8,35.0
56,Monmouth,2020-09-27,809.0,3.5,50.0,45.0,Biden +5,37.0
57,JTN,2020-09-26,752.0,3.6,51.0,45.0,Biden +6,38.0
58,The Hill,2020-09-25,2768.0,1.9,45.0,40.0,Biden +5,39.0
59,NY Times,2020-09-24,950.0,3.5,49.0,41.0,Biden +8,40.0
60,Harvard-Harris,2020-09-24,,--,47.0,45.0,Biden +2,40.0
61,Emerson,2020-09-23,1000.0,3.0,48.0,44.0,Biden +4,41.0
62,ABC News,2020-09-24,739.0,4.0,54.0,44.0,Biden +10,40.0
63,Economist,2020-09-22,1124.0,3.6,49.0,42.0,Biden +7,42.0
64,The Hill,2020-09-21,2803.0,1.9,45.0,40.0,Biden +5,43.0
65,Reuters,2020-09-22,889.0,3.7,50.0,42.0,Biden +8,42.0
66,Rasmussen Reports,2020-09-22,3000.0,2.5,48.0,47.0,Biden +1,42.0
67,CNBC,2020-09-20,1430.0,2.6,51.0,42.0,Biden +9,44.0
68,Quinnipiac,2020-09-21,1302.0,2.7,52.0,42.0,Biden +10,43.0
69,JTN,2020-09-19,773.0,2.8,50.0,44.0,Biden +6,45.0
70,IBD,2020-09-19,962.0,3.3,50.0,44.0,Biden +6,45.0
71,NBC News,2020-09-16,1000.0,3.1,51.0,43.0,Biden +8,48.0
72,Economist,2020-09-15,1062.0,3.8,51.0,42.0,Biden +9,49.0
73,NPR,2020-09-16,723.0,4.3,52.0,43.0,Biden +9,48.0
74,Rasmussen Reports,2020-09-15,2500.0,2.0,46.0,47.0,Trump +1,49.0
75,Reuters,2020-09-15,859.0,3.8,50.0,41.0,Biden +9,49.0
76,The Hill,2020-09-14,3758.0,1.6,45.0,39.0,Biden +6,50.0
77,JTN,2020-09-12,941.0,2.8,48.0,43.0,Biden +5,52.0
78,FOX News,2020-09-10,1191.0,2.5,51.0,46.0,Biden +5,54.0
79,Economist,2020-09-08,1057.0,3.8,52.0,43.0,Biden +9,56.0
80,USC DornsifeUSC,2020-09-13,2648.0,--,52.0,42.0,Biden +10,51.0
81,The Hill,2020-09-08,2832.0,1.8,47.0,39.0,Biden +8,56.0
82,CNBC,2020-09-06,1902.0,2.3,49.0,43.0,Biden +6,58.0
83,Monmouth,2020-09-08,758.0,3.6,51.0,44.0,Biden +7,56.0
84,Reuters,2020-09-08,823.0,3.9,52.0,40.0,Biden +12,56.0
85,Rasmussen Reports,2020-09-08,2500.0,2.0,48.0,46.0,Biden +2,56.0
86,CBS News,2020-09-04,2433.0,--,52.0,42.0,Biden +10,60.0
87,USC DornsifeUSC,2020-09-06,2588.0,--,52.0,42.0,Biden +10,58.0
88,Harvard-Harris,2020-09-02,,--,53.0,47.0,Biden +6,62.0
89,Economist,2020-09-01,1207.0,3.6,51.0,40.0,Biden +11,63.0
90,IBD,2020-09-01,1033.0,--,49.0,41.0,Biden +8,63.0
91,CNN,2020-09-01,997.0,4.0,51.0,43.0,Biden +8,63.0
92,Emerson,2020-08-31,1567.0,2.4,49.0,47.0,Biden +2,64.0
93,Reuters,2020-09-01,1089.0,3.4,47.0,40.0,Biden +7,63.0
94,The Hill,2020-08-31,2834.0,1.8,46.0,40.0,Biden +6,64.0
95,Suffolk University,2020-08-31,1000.0,3.1,50.0,43.0,Biden +7,64.0
96,Quinnipiac,2020-08-31,1081.0,3.0,52.0,42.0,Biden +10,64.0
97,Rasmussen Reports,2020-09-01,2500.0,2.0,49.0,45.0,Biden +4,63.0
98,Grinnell,2020-08-30,827.0,3.4,49.0,41.0,Biden +8,65.0
99,The Hill,2020-08-28,2862.0,1.8,47.0,38.0,Biden +9,67.0
100,Economist,2020-08-25,1254.0,3.8,50.0,41.0,Biden +9,70.0
101,The Hill,2020-08-25,2861.0,1.8,47.0,38.0,Biden +9,70.0
102,Rasmussen Reports,2020-08-25,2500.0,2.0,46.0,45.0,Biden +1,70.0
103,CNBC,2020-08-23,2362.0,2.0,51.0,43.0,Biden +8,72.0
104,CBS News,2020-08-22,934.0,3.7,52.0,42.0,Biden +10,73.0
105,Economist,2020-08-18,1246.0,3.4,50.0,40.0,Biden +10,77.0
106,The Hill,2020-08-18,2840.0,1.8,46.0,38.0,Biden +8,77.0
107,Rasmussen Reports,2020-08-18,2500.0,2.0,48.0,44.0,Biden +4,77.0
108,The Hill,2020-08-14,2823.0,1.8,45.0,39.0,Biden +6,81.0
109,CNN,2020-08-15,987.0,4.0,50.0,46.0,Biden +4,80.0
110,ABC News,2020-08-15,707.0,--,54.0,44.0,Biden +10,80.0
111,CBS News,2020-08-14,2152.0,2.4,52.0,42.0,Biden +10,81.0
112,NBC News,2020-08-12,900.0,3.3,50.0,41.0,Biden +9,83.0
113,FOX News,2020-08-12,1000.0,3.0,49.0,42.0,Biden +7,83.0
114,Economist,2020-08-11,1208.0,3.6,49.0,39.0,Biden +10,84.0
115,The Hill,2020-08-11,2828.0,1.8,44.0,40.0,Biden +4,84.0
116,CNBC,2020-08-09,2143.0,2.1,50.0,44.0,Biden +6,86.0
117,Monmouth,2020-08-10,785.0,3.5,51.0,41.0,Biden +10,85.0
118,Rasmussen Reports,2020-08-11,2500.0,2.0,49.0,43.0,Biden +6,84.0
119,NPR,2020-08-11,1108.0,3.6,53.0,42.0,Biden +11,84.0
120,The Hill,2020-08-05,2850.0,1.8,43.0,40.0,Biden +3,90.0
121,GU Politics,2020-08-06,1000.0,3.1,53.0,40.0,Biden +13,89.0
122,Economist,2020-08-04,1229.0,3.3,49.0,40.0,Biden +9,91.0
123,Rasmussen Reports,2020-08-04,2500.0,2.0,48.0,45.0,Biden +3,91.0
124,Emerson,2020-07-30,964.0,3.1,50.0,46.0,Biden +4,96.0
