,Poll,Date,Sample,Trump,Cruz,Rubio,Carson,Paul,Bush,Huckabee,Kasich,Fiorina,Christie,Santorum,Spread,Days_Out
0,Final Results,,,24.3,27.6,23.1,9.3,4.5,2.8,1.8,1.9,1.9,1.8,1.0,Cruz +3.3,
1,RCP Average,2016-01-31,,28.6,23.9,16.9,7.7,4.1,4.1,3.1,2.9,2.6,2.4,1.1,Trump +4.7,1.0
2,Emerson,2016-01-31,298.0,27,26,22.0,3,3.0,4,5,4,2,3.0,1,Trump +1,1.0
3,Opinion Savvy,2016-01-30,887.0,20,19,19.0,9,9.0,5,4,4,4,3.0,2,Trump +1,2.0
4,Quinnipiac,2016-01-31,890.0,31,24,17.0,8,4.0,4,3,2,2,1.0,1,Trump +7,1.0
5,Des Moines Register,2016-01-29,602.0,28,23,15.0,10,5.0,2,2,2,2,3.0,2,Trump +5,3.0
6,PPP(D),2016-01-27,780.0,31,23,14.0,9,4.0,4,4,2,3,2.0,1,Trump +8,5.0
7,Gravis Marketing,2016-01-27,724.0,31,27,13.0,7,2.0,6,2,4,3,3.0,1,Trump +4,5.0
8,NBC,2016-01-26,450.0,32,25,18.0,8,2.0,4,2,2,2,2.0,0,Trump +7,6.0
9,Monmouth,2016-01-26,500.0,30,23,16.0,10,3.0,4,3,3,2,2.0,1,Trump +7,6.0
10,ARG,2016-01-24,400.0,33,26,11.0,7,4.0,3,2,3,1,4.0,1,Trump +7,8.0
11,Quinnipiac,2016-01-24,651.0,31,29,13.0,7,5.0,4,2,1,1,3.0,0,Trump +2,8.0
12,FOX News,2016-01-21,378.0,34,23,12.0,7,6.0,4,2,2,1,4.0,2,Trump +11,11.0
13,CBS News,2016-01-21,492.0,39,34,13.0,5,3.0,1,0,1,1,2.0,1,Trump +5,11.0
14,Emerson,2016-01-20,271.0,33,23,14.0,9,3.0,5,2,3,2,5.0,0,Trump +10,12.0
15,KBUR,2016-01-19,687.0,25,27,9.0,11,3.0,7,4,3,3,4.0,1,Cruz +2,13.0
16,CNN,2016-01-20,266.0,37,26,14.0,6,2.0,3,3,1,1,1.0,1,Trump +11,12.0
17,Loras College,2016-01-18,500.0,26,25,13.0,8,3.0,6,3,4,2,3.0,1,Trump +1,14.0
18,Iowa St. Univ.,2016-01-22,283.0,19,26,12.0,13,7.0,4,4,1,1,1.0,1,Cruz +7,10.0
19,Gravis Marketing,2016-01-12,422.0,34,28,5.0,9,3.0,4,2,4,1,5.0,0,Trump +6,20.0
20,PPP(D),2016-01-10,530.0,28,26,13.0,8,3.0,6,3,3,3,3.0,2,Trump +2,22.0
21,Des Moines Register,2016-01-10,500.0,22,25,12.0,11,5.0,4,3,2,2,3.0,1,Cruz +3,22.0
22,ARG,2016-01-10,400.0,29,25,10.0,8,4.0,3,2,3,1,6.0,2,Trump +4,22.0
23,Quinnipiac,2016-01-10,602.0,31,29,15.0,7,2.0,3,3,2,1,4.0,1,Trump +2,22.0
24,FOX News,2016-01-07,504.0,23,27,15.0,9,5.0,7,2,1,1,4.0,1,Cruz +4,25.0
25,NBC,2016-01-07,456.0,24,28,13.0,11,5.0,4,2,2,3,3.0,0,Cruz +4,25.0
26,Gravis Marketing,2015-12-21,440.0,31,31,9.0,7,1.0,4,4,2,3,2.0,0,Tie,42.0
27,CBS News,2015-12-17,534.0,31,40,12.0,6,2.0,2,2,1,2,1.0,1,Cruz +9,46.0
28,PPP(D),2015-12-13,522.0,28,25,14.0,10,2.0,7,3,2,3,3.0,1,Trump +3,50.0
29,Des Moines Register,2015-12-10,400.0,21,31,10.0,13,3.0,6,3,2,1,3.0,1,Cruz +10,53.0
30,FOX News,2015-12-10,450.0,26,28,13.0,10,5.0,5,1,1,2,2.0,0,Cruz +2,53.0
31,Loras College,2015-12-10,499.0,23,30,11.0,11,2.0,6,2,1,3,0.0,1,Cruz +7,53.0
32,Quinnipiac,2015-12-13,847.0,28,27,14.0,10,4.0,5,1,1,3,3.0,0,Trump +1,50.0
33,Monmouth,2015-12-06,425.0,19,24,17.0,13,4.0,6,2,3,3,2.0,1,Cruz +5,57.0
34,CNN,2015-12-06,552.0,33,20,11.0,16,3.0,4,2,1,3,2.0,1,Trump +13,57.0
35,Quinnipiac,2015-11-22,600.0,25,23,13.0,18,5.0,4,2,1,3,2.0,2,Trump +2,71.0
36,CBS,2015-11-19,658.0,30,21,11.0,19,2.0,5,1,1,4,2.0,2,Trump +9,74.0
37,Iowa St. Univ.,2015-11-15,518.0,15,9,17.0,27,3.0,5,1,1,2,0.0,0,Carson +10,78.0
38,CNN,2015-11-04,548.0,25,11,13.0,23,2.0,5,2,2,4,3.0,0,Trump +2,89.0
39,PPP(D),2015-11-01,638.0,22,14,10.0,21,2.0,5,6,2,5,3.0,2,Trump +1,92.0
40,Gravis Marketing,2015-10-31,273.0,29,9,18.0,22,2.0,6,1,3,5,2.0,0,Trump +7,93.0
41,KBUR,2015-10-31,874.0,20,15,10.0,28,2.0,9,2,2,4,2.0,1,Carson +8,93.0
42,Monmouth,2015-10-25,400.0,18,10,10.0,32,3.0,8,2,2,5,1.0,1,Carson +14,99.0
43,Loras College,2015-10-22,500.0,19,6,10.0,31,2.0,7,1,1,2,2.0,1,Carson +12,102.0
44,CBS,2015-10-22,,27,12,9.0,27,3.0,6,2,2,3,1.0,2,Tie,102.0
45,Des Moines Register,2015-10-19,401.0,19,10,9.0,28,5.0,5,3,2,4,1.0,2,Carson +9,105.0
46,Quinnipiac,2015-10-20,574.0,20,10,13.0,28,6.0,5,2,3,5,1.0,1,Carson +8,104.0
47,NBC,2015-09-30,431.0,24,6,6.0,19,4.0,7,5,3,8,4.0,1,Trump +5,124.0
48,Gravis Marketing,2015-09-27,454.0,19,11,9.0,14,2.0,7,2,3,10,1.0,1,Trump +5,127.0
49,PPP(D),2015-09-20,488.0,24,8,8.0,17,4.0,6,6,2,13,1.0,1,Trump +7,134.0
50,CBS,2015-09-10,705.0,29,10,6.0,25,2.0,3,4,2,4,1.0,3,Trump +4,144.0
51,Quinnipiac,2015-09-08,1038.0,27,9,5.0,21,4.0,6,4,5,5,1.0,1,Trump +6,146.0
52,NBC,2015-09-02,390.0,29,4,4.0,22,5.0,6,3,2,5,2.0,1,Trump +7,152.0
53,Gravis Marketing,2015-08-31,507.0,32,7,6.0,16,1.0,4,3,1,5,2.0,1,Trump +16,154.0
54,Monmouth,2015-08-30,405.0,23,9,4.0,23,3.0,5,2,4,10,1.0,2,Tie,155.0
55,Des Moines Register,2015-08-26,400.0,23,8,6.0,18,4.0,6,4,2,5,2.0,1,Trump +5,159.0
56,Loras College,2015-08-27,502.0,25,7,4.0,18,2.0,10,4,3,5,2.0,1,Trump +7,158.0
57,CNN,2015-08-11,544.0,22,8,5.0,14,5.0,5,7,2,7,3.0,1,Trump +8,174.0
58,Suffolk University,2015-08-10,500.0,17,7,10.0,9,2.0,5,2,3,7,2.0,1,Trump +5,175.0
59,PPP(D),2015-08-09,567.0,19,9,6.0,12,3.0,11,6,3,10,1.0,2,Trump +7,176.0
60,Gravis Marketing,2015-07-29,227.0,31,6,3.0,5,1.0,10,6,5,4,1.0,3,Trump +16,187.0
61,NBC,2015-07-21,342.0,17,4,4.0,8,5.0,12,7,2,1,2.0,0,Walker +2,195.0
62,Monmouth,2015-07-19,452.0,13,7,5.0,8,5.0,7,6,2,3,1.0,3,Walker +9,197.0
63,KBUR,2015-06-29,1000.0,7,8,9.0,5,10.0,12,10,1,3,5.0,4,Walker +6,217.0
64,Quinnipiac,2015-06-29,666.0,10,9,7.0,10,9.0,8,5,2,3,1.0,4,Walker +8,217.0
65,Des Moines Register,2015-05-29,402.0,4,5,6.0,10,10.0,9,9,2,2,4.0,6,Walker +7,248.0
66,Morning Consult,2015-06-08,265.0,5,4,7.0,5,10.0,10,10,--,2,6.0,--,Walker +8,238.0
67,Gravis Marketing,2015-05-29,364.0,--,6,13.0,12,4.0,10,8,--,5,4.0,6,Walker +4,248.0
68,Quinnipiac,2015-05-04,667.0,--,12,13.0,7,13.0,5,11,2,2,3.0,2,Walker +8,273.0
69,PPP(D),2015-04-26,462.0,--,8,13.0,7,10.0,12,10,--,--,5.0,--,Walker +10,281.0
70,Loras College,2015-04-23,509.0,3,7,10.0,6,6.0,10,9,1,1,5.0,4,Walker +3,284.0
71,Gravis Marketing,2015-04-13,388.0,--,6,12.0,9,9.0,16,8,--,3,5.0,2,Bush +3,294.0
72,Quinnipiac,2015-02-23,623.0,--,5,4.0,11,13.0,10,11,0,--,4.0,4,Walker +12,343.0
73,Gravis Marketing,2015-02-13,343.0,--,4,7.0,5,10.0,10,7,--,3,9.0,6,Walker +14,353.0
74,NBC,2015-02-10,320.0,--,2,6.0,6,7.0,16,17,--,--,9.0,5,Huckabee +1,356.0
75,Des Moines Register,2015-01-29,402.0,1,6,4.0,10,15.0,9,13,1,1,6.0,5,Walker +1,368.0
76,Loras College,2015-01-26,316.0,--,5,4.0,13,7.0,13,14,1,1,5.0,4,Huckabee +1,371.0
77,FOX News,2014-10-30,329.0,--,7,5.0,12,8.0,8,13,1,--,7.0,6,Huckabee +1,459.0
78,CNN,2014-09-10,310.0,--,4,5.0,--,7.0,6,21,--,--,6.0,3,Huckabee +14,509.0
79,Suffolk University,2014-08-26,206.0,--,5,5.0,--,7.0,7,13,1,--,11.0,6,Huckabee +2,524.0
80,NBC,2014-07-13,558.0,--,7,7.0,--,12.0,12,--,--,--,8.0,9,Tie,568.0
81,PPP(D),2014-05-19,303.0,--,15,4.0,--,10.0,12,20,--,--,9.0,3,Huckabee +5,623.0
82,Vox Populi (R),2014-04-24,,--,9,9.0,--,8.0,18,20,--,--,7.0,--,Huckabee +2,648.0
83,Magellan (R),2014-04-15,,--,10,2.0,--,11.0,17,17,5,--,14.0,--,Tie,657.0
84,Loras College,2014-04-08,600.0,--,6,5.0,--,9.0,11,15,1,--,8.0,5,Huckabee +4,664.0
85,Suffolk University,2014-04-08,127.0,--,9,6.0,9,10.0,10,11,--,--,7.0,6,Huckabee +1,664.0
86,WPA (R),2014-03-30,402.0,--,7,3.0,--,10.0,7,14,--,--,6.0,5,Huckabee +4,673.0
87,PPP(D),2014-02-23,283.0,--,10,3.0,--,14.0,13,17,--,--,10.0,--,Huckabee +3,708.0
88,PPP(D),2014-07-07,250.0,--,10,11.0,--,18.0,14,--,--,--,16.0,6,Paul +2,574.0
89,Harper (R),2014-11-24,390.0,--,16,6.0,--,13.0,--,--,--,--,17.0,11,Christie +1,434.0
90,PPP(D),2014-02-03,326.0,--,--,16.0,--,15.0,14,16,--,--,12.0,--,Tie,728.0
91,Harper (R),2014-01-29,,--,--,27.0,--,13.0,--,--,--,--,12.0,14,Rubio +13,733.0
92,PPP(D),2014-07-15,363.0,--,--,10.0,--,11.0,8,17,--,--,16.0,17,Tie,566.0
93,PPP(D),2014-05-06,346.0,--,--,7.0,--,9.0,10,16,--,--,15.0,16,Tie,636.0
