,Poll,Date,Sample,MoE,Trump,Rubio,Kasich,Cruz,Bush,Christie,Fiorina,Carson,Spread,Days_Out
0,Final Results,,,--,35.3,10.5,15.8,11.7,11.0,7.4,4.1,2.3,Trump +19.5,
1,RCP Average,2016-02-08,,--,31.2,14.0,13.5,11.8,11.5,5.8,4.8,2.8,Trump +17.2,1.0
2,ARG,2016-02-08,418.0,5.0,33,14,17,10,9,8.0,3,1,Trump +16,1.0
3,Gravis Marketing,2016-02-07,705.0,3.7,28,15,17,11,14,6.0,5,3,Trump +11,2.0
4,UMass Lowell,2016-02-07,464.0,5.1,34,13,10,13,10,5.0,4,3,Trump +21,2.0
5,CNN,2016-02-08,362.0,5.2,31,17,10,14,7,4.0,5,3,Trump +14,1.0
6,Emerson,2016-02-07,686.0,3.4,31,12,13,11,16,6.0,7,3,Trump +15,2.0
7,ARG,2016-02-07,427.0,5.0,30,16,16,10,9,6.0,3,1,Trump +14,2.0
8,ARG,2016-02-06,422.0,5.0,31,17,17,9,9,5.0,2,1,Trump +14,3.0
9,UMass,2016-02-06,516.0,4.8,36,14,9,13,10,4.0,4,3,Trump +22,3.0
10,Monmouth,2016-02-06,508.0,4.4,30,13,14,12,13,6.0,5,4,Trump +16,3.0
11,CNN,2016-02-06,362.0,5.2,33,16,11,14,7,4.0,6,2,Trump +17,3.0
12,ARG,2016-02-05,415.0,5.0,34,16,17,9,8,5.0,2,2,Trump +17,4.0
13,UMass,2016-02-05,501.0,4.9,35,14,10,13,10,4.0,3,3,Trump +21,4.0
14,Boston Herald,2016-02-06,433.0,4.7,31,15,11,16,10,5.0,4,3,Trump +15,3.0
15,Suffolk University,2016-02-04,500.0,4.4,29,19,13,7,10,5.0,4,4,Trump +10,5.0
16,ARG,2016-02-04,420.0,5.0,36,15,14,12,8,6.0,2,2,Trump +21,5.0
17,CNN,2016-02-04,209.0,6.8,28,18,12,13,10,4.0,4,2,Trump +10,5.0
18,Gravis Marketing,2016-02-04,871.0,3.3,29,19,13,15,8,6.0,4,4,Trump +10,5.0
19,WBUR,2016-02-04,410.0,4.9,29,12,9,12,9,6.0,8,4,Trump +17,5.0
20,UMass,2016-02-04,500.0,4.8,34,15,8,14,8,5.0,3,4,Trump +19,5.0
21,NBC,2016-02-03,653.0,3.8,30,17,10,15,9,4.0,2,4,Trump +13,6.0
22,UMass,2016-02-03,487.0,4.9,36,15,7,14,8,5.0,3,4,Trump +21,6.0
23,ARG,2016-02-03,418.0,5.0,34,14,13,12,8,6.0,2,2,Trump +20,6.0
24,Harper (R),2016-02-02,425.0,4.8,31,10,12,9,14,6.0,5,3,Trump +17,7.0
25,UMass,2016-02-02,502.0,4.8,38,12,7,14,9,6.0,3,3,Trump +24,7.0
26,UMass Amherst,2016-02-02,390.0,7.1,35,15,11,9,8,5.0,3,4,Trump +20,7.0
27,UMass,2016-02-01,470.0,5.0,38,10,9,14,9,5.0,3,3,Trump +24,8.0
28,ARG,2016-01-31,600.0,4.0,34,11,16,10,9,6.0,2,2,Trump +18,9.0
29,UMass,2016-01-31,461.0,5.1,38,8,9,12,9,7.0,2,3,Trump +26,9.0
30,CNN,2016-01-30,409.0,4.8,30,11,9,12,6,8.0,4,3,Trump +18,10.0
31,Boston Herald,2016-01-30,439.0,4.7,38,10,8,13,10,5.0,5,3,Trump +25,10.0
32,Suffolk University,2016-01-27,500.0,4.4,27,10,12,12,11,6.0,4,5,Trump +15,13.0
33,Emerson,2016-01-26,373.0,5.0,35,9,14,8,18,5.0,3,3,Trump +17,14.0
34,ARG,2016-01-25,600.0,4.0,31,9,17,12,8,8.0,3,2,Trump +14,15.0
35,Boston Herald,2016-01-24,444.0,4.9,33,8,12,14,9,7.0,5,4,Trump +19,16.0
36,NBC,2016-01-23,612.0,4.0,31,11,11,12,8,7.0,4,5,Trump +19,17.0
37,FOX News,2016-01-21,401.0,5.0,31,13,9,14,7,7.0,3,5,Trump +17,19.0
38,CBS News,2016-01-21,476.0,6.8,34,14,10,16,7,7.0,4,5,Trump +18,19.0
39,ARG,2016-01-18,600.0,4.0,27,10,20,9,8,9.0,2,2,Trump +7,22.0
40,Gravis Marketing,2016-01-18,689.0,--,35,9,15,10,7,8.0,5,1,Trump +20,22.0
41,CNN,2016-01-18,413.0,4.8,34,10,6,14,10,6.0,4,3,Trump +20,22.0
42,ARG,2016-01-10,600.0,4.0,25,14,14,9,8,10.0,3,2,Trump +11,30.0
43,Monmouth,2016-01-10,414.0,4.8,32,12,14,14,4,8.0,5,3,Trump +18,30.0
44,NH1,2016-01-07,1000.0,3.1,32,9,12,10,12,11.0,5,4,Trump +20,33.0
45,FOX News,2016-01-07,414.0,4.5,33,15,7,12,9,5.0,3,4,Trump +18,33.0
46,PPP(D),2016-01-06,515.0,4.3,29,15,11,10,10,11.0,4,4,Trump +14,34.0
47,NBC,2016-01-07,569.0,4.1,30,14,9,10,9,12.0,3,4,Trump +16,33.0
48,ARG,2015-12-20,600.0,4.0,21,15,13,10,7,12.0,5,6,Trump +6,51.0
49,CBS News,2015-12-17,519.0,6.9,32,13,8,14,6,11.0,4,5,Trump +18,54.0
50,Boston Herald,2015-12-17,403.0,5.0,26,12,8,12,10,11.0,6,5,Trump +14,54.0
51,WBUR,2015-12-08,402.0,4.9,27,11,7,10,8,12.0,3,6,Trump +15,63.0
52,CNN,2015-12-07,402.0,3.2,32,14,7,6,8,9.0,5,5,Trump +18,64.0
53,PPP(D),2015-12-02,454.0,4.6,27,11,8,13,5,10.0,6,9,Trump +14,69.0
54,Suffolk University,2015-11-19,500.0,4.4,22,11,9,9,8,4.0,4,10,Trump +11,82.0
55,CBS,2015-11-19,624.0,6.2,32,13,8,10,6,5.0,6,10,Trump +19,82.0
56,FOX News,2015-11-17,353.0,--,27,13,7,11,9,6.0,3,9,Trump +14,84.0
57,WBUR,2015-11-15,405.0,--,23,13,7,8,7,6.0,4,13,Trump +10,86.0
58,Gravis Marketing,2015-11-11,330.0,5.4,29,10,5,12,8,8.0,4,7,Trump +17,90.0
59,WBUR,2015-11-01,400.0,4.9,18,11,10,6,7,8.0,6,16,Trump +2,100.0
60,Monmouth,2015-11-01,410.0,4.8,26,13,11,9,7,5.0,5,16,Trump +10,100.0
61,CBS,2015-10-22,496.0,6.6,38,7,5,5,8,2.0,7,12,Trump +26,110.0
62,PPP(D),2015-10-18,417.0,4.8,28,12,10,8,9,3.0,7,11,Trump +16,114.0
63,Bloomberg,2015-10-18,400.0,4.9,24,8,7,4,10,5.0,7,17,Trump +7,114.0
64,Boston Herald,2015-10-17,440.0,4.7,28,6,6,5,9,3.0,10,16,Trump +12,115.0
65,Gravis Marketing,2015-10-06,662.0,3.8,32,8,10,5,8,3.0,8,13,Trump +19,126.0
66,NBC,2015-09-30,450.0,4.6,21,10,6,6,11,7.0,16,10,Trump +5,132.0
67,CNN,2015-09-23,344.0,5.3,26,9,7,5,7,5.0,16,8,Trump +10,139.0
68,WBUR,2015-09-14,404.0,4.9,22,2,9,5,9,2.0,11,18,Trump +4,148.0
69,Monmouth,2015-09-13,415.0,4.8,28,4,11,8,7,2.0,7,17,Trump +11,149.0
70,CBS,2015-09-10,610.0,6.3,40,2,9,5,6,2.0,8,12,Trump +28,152.0
71,NBC,2015-09-02,413.0,4.8,28,3,12,5,8,5.0,6,11,Trump +16,160.0
72,PPP(D),2015-08-24,436.0,4.7,35,4,11,4,7,4.0,10,6,Trump +24,169.0
73,Boston Herald,2015-08-10,414.0,4.8,18,4,12,10,13,3.0,9,4,Trump +5,183.0
74,Gravis Marketing,2015-08-03,599.0,4.0,32,3,15,3,7,9.0,2,8,Trump +17,190.0
75,WMUR,2015-07-30,309.0,5.6,24,3,6,5,12,7.0,1,5,Trump +12,194.0
76,Monmouth,2015-07-26,467.0,4.5,24,6,7,3,12,4.0,3,5,Trump +12,198.0
77,NBC,2015-07-21,,--,21,5,7,5,14,6.0,2,6,Trump +7,203.0
78,Suffolk University,2015-06-22,500.0,4.4,11,7,2,4,14,5.0,4,6,Bush +3,232.0
79,CNN,2015-06-24,402.0,4.9,11,6,2,3,16,5.0,6,5,Bush +5,230.0
80,Morning Consult,2015-06-08,349.0,5.0,8,8,--,4,14,7.0,5,6,Bush +4,246.0
81,Gravis Marketing,2015-06-04,487.0,4.0,12,9,--,4,21,4.0,5,5,Bush +8,250.0
